epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1997.71,0.76967,0.82882,1.25603,0.9141,0.67027,0.81515,0.67148,0.69786,0.61019,1.15663,0.0083764,0.0083764,0.0083764
43,2045.39,0.75506,0.81736,1.23968,0.90094,0.69448,0.77651,0.62875,0.70092,0.61294,1.1608,0.0083368,0.0083368,0.0083368
44,2092.86,0.74898,0.80334,1.24448,0.88242,0.66749,0.73167,0.59143,0.68127,0.60016,1.14519,0.0082972,0.0082972,0.0082972
45,2140.37,0.73785,0.80232,1.22581,0.89837,0.68271,0.78553,0.65526,0.66675,0.56865,1.13116,0.0082576,0.0082576,0.0082576
46,2187.78,0.73245,0.78052,1.2216,0.90371,0.69909,0.81528,0.6789,0.66424,0.58215,1.12359,0.008218,0.008218,0.008218
47,2235.45,0.73296,0.77274,1.22481,0.93429,0.67955,0.80191,0.66186,0.66361,0.5734,1.1171,0.0081784,0.0081784,0.0081784
48,2282.89,0.73909,0.77623,1.23114,0.91982,0.69722,0.79321,0.65186,0.65571,0.55444,1.12585,0.0081388,0.0081388,0.0081388
49,2330.29,0.725,0.77394,1.21937,0.90776,0.70114,0.84166,0.70452,0.65,0.55143,1.11652,0.0080992,0.0080992,0.0080992
50,2377.79,0.7179,0.76388,1.20924,0.92145,0.70329,0.85413,0.71623,0.631,0.53773,1.09966,0.0080596,0.0080596,0.0080596
51,2425.29,0.71049,0.75126,1.21084,0.90888,0.70996,0.86076,0.72352,0.61489,0.54661,1.08699,0.00802,0.00802,0.00802
52,2472.92,0.70855,0.75851,1.20601,0.9239,0.69166,0.83288,0.69924,0.62189,0.56075,1.08875,0.0079804,0.0079804,0.0079804
53,2520.24,0.71236,0.73769,1.20456,0.92485,0.69862,0.85034,0.70782,0.63575,0.53625,1.10277,0.0079408,0.0079408,0.0079408
54,2567.63,0.71326,0.7363,1.21015,0.92644,0.71103,0.86046,0.71831,0.62623,0.53507,1.10294,0.0079012,0.0079012,0.0079012
55,2615.03,0.703,0.73435,1.20515,0.92936,0.70805,0.82672,0.6993,0.6129,0.51301,1.08044,0.0078616,0.0078616,0.0078616
56,2662.56,0.69877,0.7174,1.20205,0.91448,0.71214,0.83154,0.69575,0.6214,0.53288,1.09376,0.007822,0.007822,0.007822
57,2709.91,0.70196,0.72194,1.20116,0.93953,0.7112,0.8503,0.70702,0.62908,0.50063,1.09813,0.0077824,0.0077824,0.0077824
58,2757.31,0.70743,0.71607,1.19931,0.93867,0.71113,0.81833,0.69855,0.59407,0.49801,1.06407,0.0077428,0.0077428,0.0077428
59,2804.63,0.69603,0.72948,1.19786,0.94129,0.69945,0.84617,0.7283,0.58767,0.49742,1.05769,0.0077032,0.0077032,0.0077032
60,2852.05,0.69063,0.70973,1.19156,0.9295,0.7256,0.84908,0.71362,0.59516,0.49774,1.06228,0.0076636,0.0076636,0.0076636
61,2899.54,0.68511,0.70097,1.18866,0.75952,0.87098,0.89464,0.76219,0.59561,0.48363,1.06656,0.007624,0.007624,0.007624
62,2946.92,0.68407,0.69424,1.18713,0.90683,0.71725,0.8084,0.68054,0.58761,0.49684,1.05728,0.0075844,0.0075844,0.0075844
63,2994.21,0.67432,0.68762,1.18167,0.76,0.8658,0.88209,0.76092,0.58438,0.47161,1.05201,0.0075448,0.0075448,0.0075448
64,3041.57,0.67488,0.66938,1.17974,0.77514,0.85486,0.87706,0.75594,0.58195,0.47829,1.05437,0.0075052,0.0075052,0.0075052
65,3089.08,0.68388,0.70424,1.18862,0.94448,0.71776,0.88774,0.76563,0.58064,0.46544,1.04892,0.0074656,0.0074656,0.0074656
66,3136.53,0.6795,0.69563,1.18286,0.69479,0.86553,0.87106,0.76016,0.56668,0.45461,1.03775,0.007426,0.007426,0.007426
67,3183.96,0.66471,0.65075,1.17588,0.84206,0.86245,0.88012,0.74498,0.58885,0.46388,1.05603,0.0073864,0.0073864,0.0073864
68,3231.34,0.6675,0.68407,1.17971,0.94727,0.81931,0.887,0.72905,0.56746,0.46594,1.03594,0.0073468,0.0073468,0.0073468
69,3278.83,0.65391,0.65843,1.17016,0.75481,0.8541,0.87935,0.75985,0.57215,0.46715,1.04024,0.0073072,0.0073072,0.0073072
70,3326.21,0.66579,0.6798,1.17228,0.93683,0.72556,0.89982,0.78854,0.55556,0.45095,1.02338,0.0072676,0.0072676,0.0072676
71,3373.54,0.65805,0.66297,1.17563,0.7855,0.87206,0.8942,0.78566,0.5546,0.45202,1.02514,0.007228,0.007228,0.007228
72,3420.87,0.66342,0.66651,1.17133,0.85762,0.846,0.91244,0.79323,0.5605,0.45973,1.02978,0.0071884,0.0071884,0.0071884
73,3468.42,0.64123,0.6485,1.1598,0.77951,0.8762,0.89713,0.76795,0.54782,0.45229,1.02474,0.0071488,0.0071488,0.0071488
74,3515.76,0.65981,0.64533,1.16691,0.83622,0.88777,0.90977,0.77649,0.5514,0.4297,1.0189,0.0071092,0.0071092,0.0071092
